Team Initials,Coach Name,Player Name
KOR,HUH Jungmoo (KOR),JISUNG
GRE,REHHAGEL Otto (GER),KARAGOUNIS
ENG,CAPELLO Fabio (ITA),GERRARD
SVN,KEK Matjaz (SVN),KOREN
AUS,VERBEEK Pim (NED),NEILL
JPN,OKADA Takeshi (JPN),HASEBE
ITA,LIPPI Marcello (ITA),BUFFON
ITA,LIPPI Marcello (ITA),MARCHETTI
POR,Carlos QUEIR�S (POR),RONALDO
HON,MENDOZA Alexis (COL),GUEVARRA
SUI,HITZFELD Ottmar (GER),BENAGLIO
RSA,PARREIRA Carlos Alberto (BRA),KHUNE
RSA,PARREIRA Carlos Alberto (BRA),JOSEPHS
ARG,MARADONA Diego (ARG),MASCHERANO
GER,LOEW Joachim (GER),LAHM
DEN,OLSEN Morten (DEN),S�RENSEN
CMR,Paul LE GUEN (FRA),ETO'O
DEN,OLSEN Morten (DEN),TOMASSON
NZL,HERBERT Ricki (NZL),NELSEN
PRK,KIM Jong Hun (PRK),H. YONG JO
SUI,HITZFELD Ottmar (GER),FREI
MEX,Javier AGUIRRE (MEX),C BLANCO
FRA,DOMENECH Raymond (FRA),A. DIARRA
NGA,LAGERBACK Lars (SWE),ENYEAMA
NGA,LAGERBACK Lars (SWE),KANU
ALG,SAADANE Rabah (ALG),YAHIA
SVK,WEISS Vladimir (SVK),MUCHA
ITA,LIPPI Marcello (ITA),CANNAVARO
NED,Bert VAN MARWIJK (NED),V. BRONCKHORST
USA,Bob BRADLEY (USA),BOCANEGRA
MEX,Javier AGUIRRE (MEX),R MARQUEZ
NED,Bert VAN MARWIJK (NED),STEKELENBURG
SVK,WEISS Vladimir (SVK),HAMSIK
GHA,RAJEVAC Milovan (SRB),MENSAH
URU,TABAREZ Oscar (URU),FORLAN
ESP,DEL BOSQUE Vicente (ESP),I. CASILLAS
NED,Louis VAN GAAL (NED),V. PERSIE
AUS,POSTECOGLOU Ange (AUS),JEDINAK
URU,TABAREZ Oscar (URU),D. LUGANO
CRC,PINTO Jorge Luis (COL),RUIZ B.
HON,SUAREZ Luis (COL),VALLADARES
BIH,SUSIC Safet (BIH),SPAHI?
ARG,SABELLA Alejandro (ARG),MESSI
USA,KLINSMANN Juergen (GER),DEMPSEY
BRA,SCOLARI Luiz Felipe (BRA),T SILVA
KOR,HONG Myungbo (KOR),J C KOO
URU,TABAREZ Oscar (URU),D. GODIN
GRE,SANTOS Fernando (POR),KATSOURANIS
ECU,RUEDA Reinaldo (COL),A. VALENCIA
IRN,Carlos QUEIR�S (POR),J. NEKOUNAM
GHA,APPIAH James (GHA),A. GYAN
ALG,HALILHODZIC Vahid (BIH),BOUGUERRA
ESP,DEL BOSQUE Vicente (ESP),RAMOS
URU,TABAREZ Oscar (URU),F. MUSLERA
COL,PEKERMAN Jose (ARG),OSPINA
COL,PEKERMAN Jose (ARG),MONDRAGON
GRE,SANTOS Fernando (POR),KARNEZIS
GRE,SANTOS Fernando (POR),GLYKOS
